family;line;licenceFor;years;model;description;price
LIC;License;MS320-24;7;LIC-MS320-24-7YR;Meraki MS320-24 Enterprise License and Support. 7 Year;1180.00;
LIC;License;MS320-24;10;LIC-MS320-24-10YR;Meraki MS320-24 Enterprise License and Support. 10 Year;1475.00;
LIC;License;MS320-24P;1;LIC-MS320-24P-1YR;Meraki MS320-24P Enterprise License and Support. 1 Year;325.00;
LIC;License;MS320-24P;3;LIC-MS320-24P-3YR;Meraki MS320-24P Enterprise License and Support. 3 Year;650.00;
LIC;License;MS320-24P;5;LIC-MS320-24P-5YR;Meraki MS320-24P Enterprise License and Support. 5 Year;975.00;
LIC;License;MS320-24P;7;LIC-MS320-24P-7YR;Meraki MS320-24P Enterprise License and Support. 7 Year;1300.00;
LIC;License;MS320-24P;10;LIC-MS320-24P-10YR;Meraki MS320-24P Enterprise License and Support. 10 Year;1625.00;
LIC;License;MS320-48;1;LIC-MS320-48-1YR;Meraki MS320-48 Enterprise License and Support. 1 Year;435.00;
LIC;License;MS320-48;3;LIC-MS320-48-3YR;Meraki MS320-48 Enterprise License and Support. 3 Year;870.00;
LIC;License;MS320-48;5;LIC-MS320-48-5YR;Meraki MS320-48 Enterprise License and Support. 5 Year;1305.00;
LIC;License;MS320-48;7;LIC-MS320-48-7YR;Meraki MS320-48 Enterprise License and Support. 7 Year;1740.00;
LIC;License;MS320-48;10;LIC-MS320-48-10YR;Meraki MS320-48 Enterprise License and Support. 10 Year;2175.00;
LIC;License;MS320-48LP;1;LIC-MS320-48LP-1YR;Meraki MS320-48LP Enterprise License and Support. 1 Year;505.00;
LIC;License;MS320-48LP;3;LIC-MS320-48LP-3YR;Meraki MS320-48LP Enterprise License and Support. 3 Year;1010.00;
LIC;License;MS320-48LP;5;LIC-MS320-48LP-5YR;Meraki MS320-48LP Enterprise License and Support. 5 Year;1515.00;
LIC;License;MS320-48LP;7;LIC-MS320-48LP-7YR;Meraki MS320-48LP Enterprise License and Support. 7 Year;2020.00;
LIC;License;;10;LIC-MS320-48LP-10Y;Meraki MS320-48LP Enterprise License and Support. 10 Year;2525.00;
LIC;License;MS320-48FP;1;LIC-MS320-48FP-1YR;Meraki MS320-48FP Enterprise License and Support. 1 Year;555.00;
LIC;License;MS320-48FP;3;LIC-MS320-48FP-3YR;Meraki MS320-48FP Enterprise License and Support. 3 Year;1110.00;
LIC;License;MS320-48FP;5;LIC-MS320-48FP-5YR;Meraki MS320-48FP Enterprise License and Support. 5 Year;1665.00;
LIC;License;MS320-48FP;7;LIC-MS320-48FP-7YR;Meraki MS320-48FP Enterprise License and Support. 7 Year;2220.00;
LIC;License;;10;LIC-MS320-48FP-10Y;Meraki MS320-48FP Enterprise License and Support. 10 Year;2775.00;
LIC;License;MS420-24;1;LIC-MS420-24-1YR;Meraki MS420-24 Enterprise License and Support. 1 Year;1200.00;
LIC;License;MS420-24;3;LIC-MS420-24-3YR;Meraki MS420-24 Enterprise License and Support. 3 Year;2400.00;
LIC;License;MS420-24;5;LIC-MS420-24-5YR;Meraki MS420-24 Enterprise License and Support. 5 Year;3600.00;
LIC;License;MS420-24;7;LIC-MS420-24-7YR;Meraki MS420-24 Enterprise License and Support. 7 Year;4800.00;
LIC;License;MS420-24;10;LIC-MS420-24-10YR;Meraki MS420-24 Enterprise License and Support. 10 Year;6000.00;
LIC;License;MS420-48;1;LIC-MS420-48-1YR;Meraki MS420-48 Enterprise License and Support. 1 Year;2200.00;
LIC;License;MS420-48;3;LIC-MS420-48-3YR;Meraki MS420-48 Enterprise License and Support. 3 Year;4400.00;
LIC;License;MS420-48;5;LIC-MS420-48-5YR;Meraki MS420-48 Enterprise License and Support. 5 Year;6600.00;
LIC;License;MS420-48;7;LIC-MS420-48-7YR;Meraki MS420-48 Enterprise License and Support. 7 Year;8800.00;
LIC;License;MS420-48;10;LIC-MS420-48-10YR;Meraki MS420-48 Enterprise License and Support. 10 Year;11000.00;
Z1;Security Appliances;;;Z1-HW-US;Meraki Z1 Cloud Managed Teleworker Gateway (US Plug);395.00;
Z1;Security Appliances;;;Z1-HW-EU;Meraki Z1 Cloud Managed Teleworker Gateway (EU Plug);395.00;
Z1;Security Appliances;;;Z1-HW-UK;Meraki Z1 Cloud Managed Teleworker Gateway (UK Plug);395.00;
Z1;Security Appliances;;;Z1-HW-AU;Meraki Z1 Cloud Managed Teleworker Gateway (AU Plug);395.00;
LIC;License;Z1-ENT;1;LIC-Z1-ENT-1YR;Meraki Z1 Enterprise License and Support. 1 Year;50.00;
LIC;License;Z1-ENT;3;LIC-Z1-ENT-3YR;Meraki Z1 Enterprise License and Support. 3 Years;100.00;
LIC;License;Z1-ENT;5;LIC-Z1-ENT-5YR;Meraki Z1 Enterprise License and Support. 5 Years;150.00;
LIC;License;Z1-ENT;7;LIC-Z1-ENT-7YR;Meraki Z1 Enterprise License and Support. 7 Years;210.00;
LIC;License;Z1-ENT;10;LIC-Z1-ENT-10YR;Meraki Z1 Enterprise License and Support. 10 Years;300.00;
MX;Security Appliances;;;MX64-HW;Meraki MX64 Cloud Managed Security Appliance;595.00;
MX;Security Appliances;;;MX64W-HW;Meraki MX64W Cloud Managed Security Appliance with 802.11ac;945.00;
MX;Security Appliances;;;MX80-HW;Meraki MX80 Cloud Managed Security Appliance;1995.00;
MX;Security Appliances;;;MX100-HW;Meraki MX100 Cloud Managed Security Appliance;4995.00;
MX;Security Appliances;;;MX400-HW;Meraki MX400 Cloud Managed Security Appliance;15995.00;
MX;Security Appliances;;;MX600-HW;Meraki MX600 Cloud Managed Security Appliance;31995.00;
LIC;License;MX64-SEC;1;LIC-MX64-SEC-1YR;Meraki MX64 Advanced Security License and Support. 1 Year;600.00;
LIC;License;MX64-SEC;3;LIC-MX64-SEC-3YR;Meraki MX64 Advanced Security License and Support. 3 Years;1200.00;
LIC;License;MX64-SEC;5;LIC-MX64-SEC-5YR;Meraki MX64 Advanced Security License and Support. 5 Years;1800.00;
LIC;License;MX64-SEC;7;LIC-MX64-SEC-7YR;Meraki MX64 Advanced Security License and Support. 7 Years;2520.00;
LIC;License;MX64-SEC;10;LIC-MX64-SEC-10YR;Meraki MX64 Advanced Security License and Support. 10 Years;3600.00;
LIC;License;MX64W-SEC;1;LIC-MX64W-SEC-1YR;Meraki MX64W Advanced Security License and Support. 1 Year;650.00;
